"toad.id","age","task.type","reward.position","choice","latency","trial","lt","learnt","log.latency"
"MW01","1","reversal","L","1",64,1,1,"1",4.15888308335967
"MW01","1","reversal","L","0",109,2,1,"1",4.69134788222914
"MW01","1","reversal","L","1",63,3,1,"1",4.14313472639153
"MW01","1","reversal","L","0",74,4,1,"1",4.30406509320417
"MW01","1","reversal","L","1",NA,5,1,"1",NA
"MW01","1","reversal","L","1",39,6,1,"1",3.66356164612965
"MW01","1","reversal","L","1",64,7,1,"1",4.15888308335967
"MW01","1","reversal","L","1",42,8,1,"1",3.73766961828337
"MW01","1","reversal","L","1",32,9,1,"1",3.46573590279973
"MW02","1","reversal","L","0",78,1,1,"1",4.35670882668959
"MW02","1","reversal","L","0",23,2,1,"1",3.13549421592915
"MW02","1","reversal","L","0",72,3,1,"1",4.27666611901606
"MW02","1","reversal","L","1",46,4,1,"1",3.8286413964891
"MW02","1","reversal","L","0",28,5,1,"1",3.3322045101752
"MW02","1","reversal","L","1",34,6,1,"1",3.52636052461616
"MW02","1","reversal","L","1",46,7,1,"1",3.8286413964891
"MW02","1","reversal","L","0",98,8,1,"1",4.58496747867057
"MW02","1","reversal","L","1",363,9,1,"1",5.89440283426485
"MW02","1","reversal","L","0",109,10,1,"1",4.69134788222914
"MW02","1","reversal","L","1",33,11,1,"1",3.49650756146648
"MW02","1","reversal","L","1",68,12,1,"1",4.21950770517611
"MW02","1","reversal","L","1",103,13,1,"1",4.63472898822964
"MW02","1","reversal","L","1",64,14,1,"1",4.15888308335967
"MW03","1","reversal","R","0",63,1,1,"1",4.14313472639153
"MW03","1","reversal","R","0",NA,2,1,"1",NA
"MW03","1","reversal","R","0",NA,3,1,"1",NA
"MW03","1","reversal","R","1",71,4,1,"1",4.26267987704132
"MW03","1","reversal","R","1",52,5,1,"1",3.95124371858143
"MW03","1","reversal","R","0",182,6,1,"1",5.2040066870768
"MW03","1","reversal","R","0",60,7,1,"1",4.0943445622221
"MW03","1","reversal","R","0",87,8,1,"1",4.46590811865458
"MW03","1","reversal","R","0",40,9,1,"1",3.68887945411394
"MW03","1","reversal","R","1",30,10,1,"1",3.40119738166216
"MW03","1","reversal","R","1",43,11,1,"1",3.76120011569356
"MW03","1","reversal","R","0",118,12,1,"1",4.77068462446567
"MW03","1","reversal","R","1",66,13,1,"1",4.18965474202643
"MW03","1","reversal","R","1",115,14,1,"1",4.74493212836325
"MW03","1","reversal","R","1",65,15,1,"1",4.17438726989564
"MW03","1","reversal","R","1",98,16,1,"1",4.58496747867057
"MW03","1","reversal","R","1",70,17,1,"1",4.24849524204936
"MW04","1","reversal","R","1",125,1,1,"1",4.8283137373023
"MW04","1","reversal","R","1",206,2,1,"1",5.32787616878958
"MW04","1","reversal","R","0",182,3,1,"1",5.2040066870768
"MW04","1","reversal","R","1",393,4,1,"1",5.97380961186926
"MW04","1","reversal","R","1",158,5,1,"1",5.06259503302697
"MW04","1","reversal","R","0",124,6,1,"1",4.82028156560504
"MW04","1","reversal","R","0",52,7,1,"1",3.95124371858143
"MW04","1","reversal","R","1",59,8,1,"1",4.07753744390572
"MW04","1","reversal","R","0",280,9,1,"1",5.63478960316925
"MW04","1","reversal","R","1",333,10,1,"1",5.80814248998044
"MW04","1","reversal","R","1",60,11,1,"1",4.0943445622221
"MW04","1","reversal","R","1",43,12,1,"1",3.76120011569356
"MW04","1","reversal","R","0",82,13,1,"1",4.40671924726425
"MW04","1","reversal","R","1",52,14,1,"1",3.95124371858143
"MW04","1","reversal","R","0",83,15,1,"1",4.4188406077966
"MW04","1","reversal","R","0",62,16,1,"1",4.12713438504509
"MW04","1","reversal","R","1",30,17,1,"1",3.40119738166216
"MW04","1","reversal","R","0",31,18,1,"1",3.43398720448515
"MW04","1","reversal","R","0",47,19,1,"1",3.85014760171006
"MW04","1","reversal","R","1",57,20,1,"1",4.04305126783455
"MW04","1","reversal","R","1",NA,21,1,"1",NA
"MW04","1","reversal","R","1",50,22,1,"1",3.91202300542815
"MW04","1","reversal","R","1",52,23,1,"1",3.95124371858143
"MW04","1","reversal","R","1",278,24,1,"1",5.62762111369064
"MW04","1","reversal","R","1",315,25,1,"1",5.75257263882563
"MW05","1","reversal","L","0",168,1,1,"1",5.12396397940326
"MW05","1","reversal","L","0",80,2,1,"1",4.38202663467388
"MW05","1","reversal","L","0",48,3,1,"1",3.87120101090789
"MW05","1","reversal","L","0",48,4,1,"1",3.87120101090789
"MW05","1","reversal","L","1",235,5,1,"1",5.45958551414416
"MW05","1","reversal","L","1",301,6,1,"1",5.70711026474888
"MW05","1","reversal","L","1",325,7,1,"1",5.78382518232974
"MW05","1","reversal","L","1",659,8,1,"1",6.49072353450251
"MW05","1","reversal","L","1",420,9,1,"1",6.04025471127741
"MW05","1","reversal","L","0",120,10,1,"1",4.78749174278205
"MW05","1","reversal","L","1",190,11,1,"1",5.24702407216049
"MW05","1","reversal","L","1",178,12,1,"1",5.18178355029209
"MW06","1","reversal","R","1",98,1,1,"1",4.58496747867057
"MW06","1","reversal","R","0",217,2,1,"1",5.37989735354046
"MW06","1","reversal","R","0",28,3,1,"1",3.3322045101752
"MW06","1","reversal","R","0",145,4,1,"1",4.97673374242057
"MW06","1","reversal","R","0",59,5,1,"1",4.07753744390572
"MW06","1","reversal","R","1",204,6,1,"1",5.31811999384422
"MW06","1","reversal","R","0",162,7,1,"1",5.08759633523238
"MW06","1","reversal","R","1",NA,8,1,"1",NA
"MW06","1","reversal","R","1",369,9,1,"1",5.91079664404053
"MW06","1","reversal","R","0",236,10,1,"1",5.46383180502561
"MW06","1","reversal","R","0",103,11,1,"1",4.63472898822964
"MW06","1","reversal","R","1",165,12,1,"1",5.10594547390058
"MW06","1","reversal","R","0",88,13,1,"1",4.47733681447821
"MW06","1","reversal","R","1",189,14,1,"1",5.24174701505964
"MW06","1","reversal","R","1",147,15,1,"1",4.99043258677874
"MW06","1","reversal","R","1",61,16,1,"1",4.11087386417331
"MW06","1","reversal","R","0",140,17,1,"1",4.9416424226093
"MW06","1","reversal","R","1",335,18,1,"1",5.81413053182507
"MW06","1","reversal","R","1",76,19,1,"1",4.33073334028633
"MW06","1","reversal","R","1",166,20,1,"1",5.11198778835654
"MW07","1","reversal","L","0",16,1,1,"1",2.77258872223978
"MW07","1","reversal","L","1",26,2,1,"1",3.25809653802148
"MW07","1","reversal","L","0",41,3,1,"1",3.71357206670431
"MW07","1","reversal","L","0",100,4,1,"1",4.60517018598809
"MW07","1","reversal","L","1",28,5,1,"1",3.3322045101752
"MW07","1","reversal","L","0",305,6,1,"1",5.72031177660741
"MW07","1","reversal","L","1",96,7,1,"1",4.56434819146784
"MW07","1","reversal","L","1",134,8,1,"1",4.89783979995091
"MW07","1","reversal","L","1",384,9,1,"1",5.95064255258773
"MW07","1","reversal","L","1",410,10,1,"1",6.01615715969835
"MW07","1","reversal","L","1",244,11,1,"1",5.4971682252932
"MW07","1","reversal","L","0",113,12,1,"1",4.72738781871234
"MW07","1","reversal","L","0",64,13,1,"1",4.15888308335967
"MW07","1","reversal","L","1",38,14,1,"1",3.63758615972639
"MW07","1","reversal","L","1",88,15,1,"1",4.47733681447821
"MW08","1","reversal","L","0",33,1,1,"1",3.49650756146648
"MW08","1","reversal","L","0",36,2,1,"1",3.58351893845611
"MW08","1","reversal","L","1",317,3,1,"1",5.75890177387728
"MW08","1","reversal","L","1",240,4,1,"1",5.48063892334199
"MW08","1","reversal","L","0",120,5,1,"1",4.78749174278205
"MW08","1","reversal","L","0",132,6,1,"1",4.88280192258637
"MW08","1","reversal","L","1",112,7,1,"1",4.71849887129509
"MW08","1","reversal","L","0",70,8,1,"1",4.24849524204936
"MW08","1","reversal","L","0",7,9,1,"1",1.94591014905531
"MW08","1","reversal","L","0",6,10,1,"1",1.79175946922805
"MW08","1","reversal","L","1",28,11,1,"1",3.3322045101752
"MW08","1","reversal","L","1",78,12,1,"1",4.35670882668959
"MW08","1","reversal","L","1",123,13,1,"1",4.81218435537242
"MW08","1","reversal","L","0",97,14,1,"1",4.57471097850338
"MW08","1","reversal","L","0",68,15,1,"1",4.21950770517611
"MW08","1","reversal","L","1",89,16,1,"1",4.48863636973214
"MW08","1","reversal","L","0",85,17,1,"1",4.44265125649032
"MW08","1","reversal","L","1",120,18,1,"1",4.78749174278205
"MW08","1","reversal","L","1",64,19,1,"1",4.15888308335967
"MW08","1","reversal","L","1",26,20,1,"1",3.25809653802148
"MW08","1","reversal","L","0",228,21,1,"1",5.42934562895444
"MW08","1","reversal","L","1",91,22,1,"1",4.51085950651685
"MW08","1","reversal","L","1",123,23,1,"1",4.81218435537242
"MW08","1","reversal","L","1",44,24,1,"1",3.78418963391826
"MW09","1","reversal","R","0",134,1,1,"1",4.89783979995091
"MW09","1","reversal","R","0",170,2,1,"1",5.13579843705026
"MW09","1","reversal","R","1",149,3,1,"1",5.00394630594546
"MW09","1","reversal","R","0",120,4,1,"1",4.78749174278205
"MW09","1","reversal","R","1",31,5,1,"1",3.43398720448515
"MW09","1","reversal","R","1",129,6,1,"1",4.85981240436167
"MW09","1","reversal","R","1",78,7,1,"1",4.35670882668959
"MW09","1","reversal","R","0",17,8,1,"1",2.83321334405622
"MW09","1","reversal","R","1",120,9,1,"1",4.78749174278205
"MW09","1","reversal","R","0",87,10,1,"1",4.46590811865458
"MW09","1","reversal","R","1",10,11,1,"1",2.30258509299405
"MW09","1","reversal","R","0",49,12,1,"1",3.89182029811063
"MW09","1","reversal","R","1",48,13,1,"1",3.87120101090789
"MW09","1","reversal","R","1",26,14,1,"1",3.25809653802148
"MW09","1","reversal","R","0",19,15,1,"1",2.94443897916644
"MW09","1","reversal","R","1",62,16,1,"1",4.12713438504509
"MW09","1","reversal","R","1",288,17,1,"1",5.66296048013595
"MW09","1","reversal","R","1",149,18,1,"1",5.00394630594546
"MW09","1","reversal","R","1",208,19,1,"1",5.33753807970132
"MW10","1","reversal","R","1",70,1,1,"1",4.24849524204936
"MW10","1","reversal","R","1",320,2,1,"1",5.76832099579377
"MW10","1","reversal","R","1",62,3,1,"1",4.12713438504509
"MW10","1","reversal","R","1",56,4,1,"1",4.02535169073515
"MW10","1","reversal","R","1",52,5,1,"1",3.95124371858143
"MW10","1","reversal","R","1",270,6,1,"1",5.59842195899838
"MW10","1","reversal","R","1",404,7,1,"1",6.00141487796115
"MW11","1","reversal","L","1",27,1,1,"1",3.29583686600433
"MW11","1","reversal","L","0",127,2,1,"1",4.84418708645859
"MW11","1","reversal","L","0",33,3,1,"1",3.49650756146648
"MW11","1","reversal","L","0",54,4,1,"1",3.98898404656427
"MW11","1","reversal","L","1",120,5,1,"1",4.78749174278205
"MW11","1","reversal","L","0",54,6,1,"1",3.98898404656427
"MW11","1","reversal","L","1",110,7,1,"1",4.70048036579242
"MW11","1","reversal","L","0",94,8,1,"1",4.54329478227
"MW11","1","reversal","L","0",118,9,1,"1",4.77068462446567
"MW11","1","reversal","L","1",348,10,1,"1",5.85220247977447
"MW11","1","reversal","L","1",366,11,1,"1",5.90263333340137
"MW11","1","reversal","L","0",197,12,1,"1",5.28320372873799
"MW11","1","reversal","L","1",248,13,1,"1",5.51342874616498
"MW11","1","reversal","L","1",311,14,1,"1",5.73979291217923
"MW11","1","reversal","L","1",151,15,1,"1",5.01727983681492
"MW11","1","reversal","L","1",180,16,1,"1",5.19295685089021
"MW11","1","reversal","L","1",304,17,1,"1",5.71702770140622
"MW12","1","reversal","R","1",223,1,1,"1",5.40717177146012
"MW12","1","reversal","R","0",186,2,1,"1",5.2257466737132
"MW12","1","reversal","R","0",59,3,1,"1",4.07753744390572
"MW12","1","reversal","R","1",186,4,1,"1",5.2257466737132
"MW12","1","reversal","R","1",60,5,1,"1",4.0943445622221
"MW12","1","reversal","R","0",100,6,1,"1",4.60517018598809
"MW12","1","reversal","R","0",126,7,1,"1",4.83628190695148
"MW12","1","reversal","R","0",111,8,1,"1",4.70953020131233
"MW12","1","reversal","R","1",85,9,1,"1",4.44265125649032
"MW12","1","reversal","R","0",285,10,1,"1",5.65248918026865
"MW12","1","reversal","R","0",180,11,1,"1",5.19295685089021
"MW12","1","reversal","R","1",110,12,1,"1",4.70048036579242
"MW12","1","reversal","R","0",111,13,1,"1",4.70953020131233
"MW12","1","reversal","R","0",85,14,1,"1",4.44265125649032
"MW12","1","reversal","R","0",97,15,1,"1",4.57471097850338
"MW12","1","reversal","R","1",125,16,1,"1",4.8283137373023
"MW12","1","reversal","R","1",115,17,1,"1",4.74493212836325
"MW12","1","reversal","R","1",110,18,1,"1",4.70048036579242
"MW12","1","reversal","R","1",96,19,1,"1",4.56434819146784
"MW12","1","reversal","R","1",146,20,1,"1",4.98360662170834
"MW12","1","reversal","R","1",304,21,1,"1",5.71702770140622
"MW12","1","reversal","R","1",87,22,1,"1",4.46590811865458
"MW13","1","reversal","R","0",222,1,1,"1",5.40267738187228
"MW13","1","reversal","R","1",205,2,1,"1",5.32300997913841
"MW13","1","reversal","R","0",164,3,1,"1",5.0998664278242
"MW13","1","reversal","R","1",355,4,1,"1",5.87211778947542
"MW13","1","reversal","R","0",154,5,1,"1",5.03695260241363
"MW13","1","reversal","R","0",80,6,1,"1",4.38202663467388
"MW13","1","reversal","R","1",110,7,1,"1",4.70048036579242
"MW13","1","reversal","R","0",54,8,1,"1",3.98898404656427
"MW13","1","reversal","R","0",382,9,1,"1",5.94542060860658
"MW13","1","reversal","R","0",210,10,1,"1",5.34710753071747
"MW13","1","reversal","R","0",60,11,1,"1",4.0943445622221
"MW13","1","reversal","R","0",300,12,1,"1",5.7037824746562
"MW13","1","reversal","R","1",326,13,1,"1",5.78689738136671
"MW13","1","reversal","R","1",75,14,1,"1",4.31748811353631
"MW13","1","reversal","R","1",302,15,1,"1",5.71042701737487
"MW13","1","reversal","R","1",334,16,1,"1",5.8111409929767
"MW13","1","reversal","R","0",286,17,1,"1",5.65599181081985
"MW13","1","reversal","R","1",174,18,1,"1",5.15905529921453
"MW13","1","reversal","R","1",121,19,1,"1",4.79579054559674
"MW13","1","reversal","R","1",376,20,1,"1",5.92958914338989
"MW14","1","reversal","R","1",88,1,1,"1",4.47733681447821
"MW14","1","reversal","R","1",136,2,1,"1",4.91265488573605
"MW14","1","reversal","R","1",158,3,1,"1",5.06259503302697
"MW14","1","reversal","R","0",41,4,1,"1",3.71357206670431
"MW14","1","reversal","R","0",94,5,1,"1",4.54329478227
"MW14","1","reversal","R","1",95,6,1,"1",4.55387689160054
"MW14","1","reversal","R","0",172,7,1,"1",5.14749447681345
"MW14","1","reversal","R","0",112,8,1,"1",4.71849887129509
"MW14","1","reversal","R","0",119,9,1,"1",4.77912349311153
"MW14","1","reversal","R","0",38,10,1,"1",3.63758615972639
"MW14","1","reversal","R","1",40,11,1,"1",3.68887945411394
"MW14","1","reversal","R","1",115,12,1,"1",4.74493212836325
"MW14","1","reversal","R","1",300,13,1,"1",5.7037824746562
"MW14","1","reversal","R","1",140,14,1,"1",4.9416424226093
"MW14","1","reversal","R","1",315,15,1,"1",5.75257263882563
"MW14","1","reversal","R","1",203,16,1,"1",5.31320597904179
"MW14","1","reversal","R","1",176,17,1,"1",5.17048399503815
"MW15","1","reversal","L","1",35,1,1,"1",3.55534806148941
"MW15","1","reversal","L","0",35,2,1,"1",3.55534806148941
"MW15","1","reversal","L","0",77,3,1,"1",4.34380542185368
"MW15","1","reversal","L","0",60,4,1,"1",4.0943445622221
"MW15","1","reversal","L","0",32,5,1,"1",3.46573590279973
"MW15","1","reversal","L","0",30,6,1,"1",3.40119738166216
"MW15","1","reversal","L","0",110,7,1,"1",4.70048036579242
"MW15","1","reversal","L","0",27,8,1,"1",3.29583686600433
"MW15","1","reversal","L","1",39,9,1,"1",3.66356164612965
"MW15","1","reversal","L","0",44,10,1,"1",3.78418963391826
"MW15","1","reversal","L","0",95,11,1,"1",4.55387689160054
"MW15","1","reversal","L","0",30,12,1,"1",3.40119738166216
"MW15","1","reversal","L","0",25,13,1,"1",3.2188758248682
"MW15","1","reversal","L","1",97,14,1,"1",4.57471097850338
"MW15","1","reversal","L","0",41,15,1,"1",3.71357206670431
"MW15","1","reversal","L","0",49,16,1,"1",3.89182029811063
"MW15","1","reversal","L","1",280,17,1,"1",5.63478960316925
"MW15","1","reversal","L","1",276,18,1,"1",5.62040086571715
"MW15","1","reversal","L","1",207,19,1,"1",5.33271879326537
"MW15","1","reversal","L","1",377,20,1,"1",5.93224518744801
"MW15","1","reversal","L","1",177,21,1,"1",5.17614973257383
"MW15","1","reversal","L","0",380,22,1,"1",5.94017125272043
